"well","minutes","input","normalised_fluorescence","conc"
"E6",110.13,"spike 10^2",-0.0186387199270959,"1:60"
"E9",110.13,"spike 10^2",-0.0176421220078415,"1:70"
"E12",110.13,"spike 10^2",-0.140590266610329,"1:80"
"F3",110.13,"spike 10",-0.0474568610856554,"1:50"
"F6",110.13,"spike 10",0.00418323827455147,"1:60"
"F9",110.13,"spike 10",0.0438680073007733,"1:70"
"F12",110.13,"spike 10",-0.131848827707727,"1:80"
"G3",110.13,"no template",0,"1:50"
"G6",110.13,"no template",0,"1:60"
"G9",110.13,"no template",0,"1:70"
"G12",110.13,"no template",0,"1:80"
