"","t1","t2","t3","t4","t5","t6","t7","t8"
"G4",1.02047121449417,1.00234168193851,1.01035891697608,0.998059042091059,1.01067883382836,1.01709859937005,1.01253540534334,1.00812593760819
"H4",1.08536804539269,1.07783547139076,1.06811284607429,1.06027136440098,1.08537204939816,1.07159200788872,1.07463829135727,1.08497134284725
"A5",1.48700437324022,1.4926355799905,1.56288252547344,1.85298630238276,1.85850789432547,1.85193340545509,1.83183418816505,1.83365388314036
"B5",1.45405530308865,1.4541590307473,1.43038672159775,1.74017967724643,1.81531381897765,1.8071572860521,1.7968881573911,1.7973323845059
"C5",1.57871404486208,1.58451265865744,1.55460895512266,1.94102260753831,2.01446967328435,2.00634735239773,1.97749368445227,1.979295687964
"D5",1.41566321771205,1.45633102558881,1.43976230439279,1.42489417158068,1.41255666718774,1.40080227470728,1.39397535022583,1.40066161480171
"E5",1.77974616378683,1.7797800855223,1.76273672075005,1.75562415660758,1.71746521807097,1.70362746881372,1.70430796907295,1.68994499365311
"F5",0.966588787046308,0.974334826579787,0.983588491599274,0.976856387600052,0.959912849773331,0.965391132854011,0.960212049299548,0.966246105319845
"G5",1.14501014146705,1.12735016629336,1.13580184120848,1.13821468843004,1.14123808035016,1.1521545575522,1.12973666079767,1.13270762011001
"H5",1.12950268299571,1.12005362112265,1.11673702592272,1.10971957779544,1.11887408160075,1.11056647487387,1.11743091173544,1.10683925068277
"A6",0.913570737802425,0.924964365709631,0.930997066951495,0.932815128380502,0.93014303579803,0.928494155266005,0.925572226900406,0.921596722698773
"B6",0.940161065324741,0.923284463449399,0.942830985199125,0.939053921659242,0.939815538533688,0.941188860061463,0.928041031922223,0.935656037235066
"C6",0.892166679503967,0.898959818095432,0.895342725870166,0.88904190620552,0.884223073315617,0.88419672005591,0.884368062466508,0.883861599415317
"D6",1,1.0012641688726,0.998762355254904,1.00655304360685,0.991314287947475,0.993528189712119,0.983713542065376,0.991287456244951
"E6",1.50883634154065,1.47451299803163,1.44615397656952,1.43971939294231,1.42225848053775,1.42047619503509,1.39686519176299,1.39457437396623
"F6",1.10573656148639,1.07810697074594,1.08358340538799,1.07385806976357,1.08020361106769,1.08374101270428,1.07045663323892,1.07922067930915
"G6",1.00791633503642,1.01929342292812,1.01808148110473,1.00801338336691,1.01533922151008,1.014274362632,1.00704279262038,1.00728930261184
"H6",1.10523162768407,1.10922758433449,1.09519692114677,1.09266687616689,1.11862005627638,1.09722075957608,1.09019750440175,1.10256952725314
"A7",0.976730254092959,0.97103441254327,0.9615397656952,0.965081242952474,0.950298968266375,0.964405043416656,0.961513434892444,0.96111089741124
"B7",0.868451907194879,0.904254055521618,0.895376633945374,0.89626042109544,0.886362748163201,0.894967114395948,0.908032228431448,0.911653267684733
