Well,Cycle,BLUE,GREEN,YELLOW,RED
F5,3,89631,35394,16029,6102
F6,3,97152,38114,17117,6449
F7,3,93561,36586,16398,6131
F8,3,95797,37529,16819,6298
F9,3,97163,38098,16890,6054
F10,3,92806,36722,16478,6217
F11,3,83559,33163,14900,5650
F12,3,110702,43934,19647,7223
G1,3,39986,16112,7749,3455
G2,3,42173,17004,8215,3719
G3,3,81097,32323,14806,5710
G4,3,91046,36173,16641,6708
G5,3,91512,36249,16478,6307
G6,3,85393,34020,15737,6237
G7,3,91437,35954,16147,6056
G8,3,88739,34715,15619,5973
G9,3,90392,35746,16015,5861
G10,3,91906,36382,16351,6075
G11,3,94164,37310,16606,6093
G12,3,118969,48558,23164,9901
H1,3,44191,17934,8663,3899
H2,3,47918,19403,9347,4194
H3,3,105088,43878,21343,9461
H4,3,97295,39501,18207,7119
H5,3,98369,39550,17969,6709
H6,3,104065,41907,18927,7107
H7,3,104347,43184,20912,8852
H8,3,97645,38721,17289,6327
H9,3,97521,39470,17994,6730
H10,3,102653,41460,18972,7395
H11,3,86562,36142,16532,6365
H12,3,82924,33398,15092,5697
A1,4,39031,15663,7571,3489
A2,4,38071,15186,7243,3234
A3,4,76443,29787,13339,5003
A4,4,86997,34128,15416,5855
A5,4,84072,32777,14626,5425
A6,4,94589,36859,16366,5987
A7,4,93737,36567,16355,6122
A8,4,80703,31876,14436,5443
A9,4,79365,31378,14120,5351
A10,4,88509,34941,15637,5869
A11,4,80975,32128,14346,5214
A12,4,89045,35233,15437,5431
B1,4,33444,13612,6811,3319
B2,4,36299,14822,7509,3726
B3,4,78523,30725,13738,5087
B4,4,88210,34600,15767,6206
B5,4,86223,34021,15546,6056
B6,4,83702,33021,14901,5601
B7,4,96515,38075,17265,6530
B8,4,92277,36467,16480,6275
B9,4,82585,33311,15120,5727
B10,4,96566,38212,17126,6426
B11,4,79365,31662,14183,5272
B12,4,110270,43623,19770,8277
C1,4,39022,15671,7765,3687
C2,4,35441,14086,6731,2998
C3,4,86584,33896,15295,5824
C4,4,92640,36394,16232,5856
C5,4,93842,36612,16442,6253
C6,4,98261,38352,17246,6504
C7,4,94134,36526,16154,5897
C8,4,86533,34243,15598,5987
C9,4,89198,35317,15994,6027
C10,4,82625,32729,14725,5442
C11,4,91961,36358,16452,6322
C12,4,105015,41911,18992,7220
D1,4,39346,15939,7908,3902
D2,4,40931,16518,8157,3866
D3,4,91019,35982,16585,6670
D4,4,89976,35395,16098,6281
D5,4,99764,39060,17685,6796
